"BeeFuncID";"VALID_NAME";"CD_NOM";"LB_NOM";"LB_AUTHOR";"INHERITED_FROM";"LB_NOM_INHERITED_FROM";"LB_AUTEUR_INHERITED_FROM";"ORIGIN";"KINGDOM";"PHYLUM";"CLASS";"ORDER";"FAMILY";"SUBFAMILY";"TRIBE";"GENUS";"GROUP1_INPN";"GROUP2_INPN";"GROUP3_INPN";"NEST_TYPE";"PARASITISM_TYPE";"SOURCE";"DATASET_TITLE";"SOURCE_ID"
"bfNestTyp42";"Andrena denticulata (Kirby, 1802)";"239337";"Andrena denticulata";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp43";"Andrena distinguenda Schenck, 1871";"239338";"Andrena distinguenda";"Schenck, 1871";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp44";"Andrena djelfensis Perez, 1895";"317520";"Andrena djelfensis";"Perez, 1895";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2018. Inventaire et analyse des peuplements d’hymenoptères apiformes sur l’emprise des servitudes GRT Gaz. Parc Naturel Regional du Perigord-Limousin.";"Abeilles";444911
"bfNestTyp45";"Andrena dorsata (Kirby, 1802)";"239339";"Andrena dorsata";"(Kirby, 1802)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
"bfNestTyp46";"Andrena fabrella Perez, 1903";"239342";"Andrena fabrella";"Perez, 1903";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
"bfNestTyp47";"Andrena falsifica Perkins, 1915";"239343";"Andrena falsifica";"Perkins, 1915";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp48";"Andrena ferox Smith, 1847";"239345";"Andrena ferox";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp49";"Andrena flavilabris Schenck, 1874";"814734";"Andrena flavilabris";"Schenck, 1874";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp50";"Andrena flavipes Panzer, 1799";"239347";"Andrena flavipes";"Panzer, 1799";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
"bfNestTyp51";"Andrena florea Fabricius, 1793";"239348";"Andrena florea";"Fabricius, 1793";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
"bfNestTyp52";"Andrena florentina Magretti, 1883";"317532";"Andrena florentina";"Magretti, 1883";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud, D. 2024. Personnal communication. In: Aubouin, L., Genoud, D., Givord-Coupeau, B., Tercerie, S., Gargominy, O., Leclercq, V., Henry, M., Guilbaud, L., Geslin, B., Schatz, B. 2025. BeeFunc: a comprehensive trait database for French bees.";"Abeilles";447698
"bfNestTyp53";"Andrena floricola Eversmann, 1852";"239349";"Andrena floricola";"Eversmann, 1852";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp54";"Andrena florivaga Eversmann, 1852";"239350";"Andrena florivaga";"Eversmann, 1852";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Scheuchl E., Willner W. 2016. Taschenlexikon der Wildbienen Europas. Quelle & Meyer Verlag Wiebelsheim. 920pp.";"Abeilles";444787
"bfNestTyp55";"Andrena freygessneri Alfken, 1904";"814735";"Andrena freygessneri";"Alfken, 1904";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"DYLEWSKA, M. 1987. Die Gattung Andrena FABRICIUS (Andrenidae, Apoidea) in Nord- und Mitteleuropa. Acta zool. cracov. 30 (12): 359-708.";"Abeilles";308112
"bfNestTyp56";"Andrena fucata Smith, 1847";"239351";"Andrena fucata";"Smith, 1847";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Tomozei, B. 2014. Andrena fucata. The IUCN Red List of Threatened Species 2014: e.T19199492A21310210.";"Abeilles";444828
"bfNestTyp57";"Andrena fulva (Muller, 1766)";"53079";"Andrena fulva";"(Muller, 1766)";NA;NA;NA;NA;NA;"Arthropoda";"Insecta";"Hymenoptera";"Andrenidae";"Andreninae";NA;"Andrena";NA;NA;NA;"excavated";"";"Genoud D. 2016. Diversite des abeilles sauvages (Hymenoptera : Apoidea) de l'île de Porquerolles (France, Var), Sci. Rep. Port Cros national Park, 30: 95-143.";"Abeilles";444912
