LB_NOM;VALID_NAME;PHYLUM;CLASS;ORDER;FAMILY;SUBFAMILY;TRIBE;GENUS;SUBGENUS;CD_NOM
Andrena pallitarsis;Andrena pallitarsis Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena;239408
Andrena pandellei;Andrena pandellei Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena;239409
Andrena panurgina;Andrena panurgina De Stefani, 1889;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239410
Andrena parviceps;Andrena parviceps Kriechbaumer, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239411
Andrena paucisquama;Andrena paucisquama Noskiewicz, 1924;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena;239412
Andrena pauxilla;Andrena pauxilla Stockhert, 1935;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;814737
Andrena pellucens;Andrena pellucens Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Margandrena;239413
Andrena pilipes;Andrena pilipes Fabricius, 1781;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Plastandrena;239414
Andrena polita;Andrena polita Smith, 1847;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Ulandrena;239415
Andrena potentillae;Andrena potentillae Panzer, 1808;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239416
Andrena praecox;Andrena praecox (Scopoli, 1763);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239417
Andrena propinqua;Andrena propinqua Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena;718531
Andrena proxima;Andrena proxima (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239418
Andrena puella;Andrena puella Alfken, 1938;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Distandrena;1041348
Andrena pusilla;Andrena pusilla Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239419
Andrena ranunculi;Andrena ranunculi Schmiedeknecht, 1884;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239420
Andrena ranunculorum;Andrena ranunculorum Morawitz, 1877;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239421
Andrena rhenana;Andrena rhenana Stoeckhert, 1930;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239422
Andrena rogenhoferi;Andrena rogenhoferi Morawitz, 1872;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239423
Andrena rosae;Andrena rosae Panzer, 1800;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239424
Andrena ruficrus;Andrena ruficrus Nylander, 1848;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239426
Andrena rufizona;Andrena rufizona Imhoff, 1834;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena;239427
Andrena rufula;Andrena rufula Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239428
Andrena rugulosa;Andrena rugulosa Stockhert, 1935;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239430
Andrena russula;Andrena russula Lepeletier de Saint-Fargeau, 1841;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;1012380
Andrena sardoa;Andrena sardoa Lepeletier, 1841;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Lepidandrena;239431
Andrena savignyi;Andrena savignyi Spinola, 1838;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Suandrena;239432
Andrena saxonica;Andrena saxonica Stockhert, 1935;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;239433
Andrena schencki;Andrena schencki Morawitz, 1866;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Opandrena;239434
Andrena scotica;Andrena scotica Perkins, 1916;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Hoplandrena;712919
Andrena semilaevis;Andrena semilaevis Perez, 1903;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239435
Andrena senecionis;Andrena senecionis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239436
Andrena sericata;Andrena sericata Imhoff, 1868;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Leucandrena;239437
Andrena simillima;Andrena simillima Smith, 1851;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena;239439
Andrena simontornyella;Andrena simontornyella Noskiewicz, 1939;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239440
Andrena solenopalpa;Andrena solenopalpa Benoist, 1945;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239441
Andrena spreta;Andrena spreta Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239442
Andrena stabiana;Andrena stabiana Morice, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena;239443
Andrena strohmella;Andrena strohmella Stoeckhert, 1928;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239444
Andrena subopaca;Andrena subopaca Nylander, 1848;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239445
Andrena suerinensis;Andrena suerinensis Friese, 1884;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Suandrena;239446
Andrena symphyti;Andrena symphyti Schmiedeknecht, 1883;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Euandrena;239447
Andrena synadelpha;Andrena synadelpha Perkins, 1914;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Andrena;239448
Andrena tarsata;Andrena tarsata Nylander, 1848;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Tarsandrena;239450
Andrena tenuistriata;Andrena tenuistriata Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena;239451
Andrena thomsonii;Andrena thomsonii Ducke, 1898;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;;1038110
Andrena thoracica;Andrena thoracica (Fabricius, 1775);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Melandrena;239453
