CD_NOM;LB_NOM;NOM_COMPLET;NOM_VALIDE;PHYLUM;CLASSE;ORDRE;FAMILLE;SOUS_FAMILLE;TRIBU;GENRE;SOUS_GENRE
814733;Andrena corssubalpina;Andrena corssubalpina Theunert, 2007;Andrena corssubalpina Theunert, 2007;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
317508;Andrena curtula;Andrena curtula Perez, 1903;Andrena spreta Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239334;Andrena curvungula;Andrena curvungula C.G. Thomson, 1870;Andrena curvungula C.G. Thomson, 1870;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
998424;Andrena cyanescens;Andrena cyanescens Nylander, 1852;Andrena viridescens Viereck, 1916;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Poecilandrena
239336;Andrena decipiens;Andrena decipiens Schenck, 1861;Andrena decipiens Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
939728;Andrena decipiens decipiens;Andrena decipiens decipiens Schenck, 1861;Andrena decipiens decipiens Schenck, 1861;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
239337;Andrena denticulata;Andrena denticulata (Kirby, 1802);Andrena denticulata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Cnemidandrena
426730;Andrena depressiuscula;Andrena depressiuscula Perez, 1903;Andrena djelfensis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
1000715;Andrena dissidens;Andrena dissidens Schmiedeknecht, 1884;Andrena colletiformis Morawitz, 1873;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;
407118;Andrena distincta;Andrena distincta Lucas, 1849;Andrena leucolippa Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
407162;Andrena distincta;Andrena distincta Rossi, 1790;Dasypoda visnaga (Rossi, 1790);Arthropoda;Insecta;Hymenoptera;Melittidae;Dasypodainae;;Dasypoda;Megadasypoda
239338;Andrena distinguenda;Andrena distinguenda Schenck, 1871;Andrena distinguenda Schenck, 1871;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Distandrena
317520;Andrena djelfensis;Andrena djelfensis Perez, 1895;Andrena djelfensis Perez, 1895;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Micrandrena
239339;Andrena dorsata;Andrena dorsata (Kirby, 1802);Andrena dorsata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
1008548;Andrena dorsata dorsata;Andrena dorsata dorsata (Kirby, 1802);Andrena dorsata (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
1000733;Andrena dorsata propinqua;Andrena dorsata propinqua Schenck, 1853;Andrena propinqua Schenck, 1853;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Simandrena
407140;Andrena emarginata;Andrena emarginata Perez, 1903;Andrena stabiana Morice, 1899;Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Chlorandrena
407121;Andrena erythrocnemis;Andrena erythrocnemis Morawitz, 1871;Andrena chrysosceles (Kirby, 1802);Arthropoda;Insecta;Hymenoptera;Andrenidae;Andreninae;;Andrena;Notandrena
